Bill No,Year,Short Title of Bill,Ministry,Date of Introduction,Date of Passing in Lok Sabha,Date of Passing in Rajya Sabha,Date of Assent,Act No,Bill Category,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL of Errata
18,2013,"The Finance Bill, 2013",FINANCE,28/02/2013,30/04/2013,NA,NA,NA,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/18_2013_EN_LS.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corr_18_2013_Eng.doc.pdf
30,2013,"The National Institutes of Technology, Science Education and Research (Amendment) Bill, 2013",HUMAN RESOURCE DEVELOPMENT,04/03/2013,NA,NA,NA,NA,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/30_2013_LS_Eng.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corr_30_2013_eng.doc
31,2013,"The Agricultural Biosecurity (Amendment) Bill, 2013.",AGRICULTURE,11/03/2013,NA,NA,NA,NA,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/31_2013_LS_Eng.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigenda (Agricultural Biosecurity) 7.3.2013.doc
35,2013,"The Appropriation (Railways) Vote on Account Bill, 2013",RAILWAYS,13/03/2013,13/03/2013,15/03/2013,20/03/2013,5,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/35_5317_LS_Eng..pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/35F_2013_Eng_LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigendum_Appro.RLY.VO 13.pdf
35,2013,"The Appropriation (Railways) Vote on Account Bill, 2013",RAILWAYS,13/03/2013,13/03/2013,15/03/2013,20/03/2013,5,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/35_5317_LS_Eng..pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/35F_2013_Eng_LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigendum_Appro.RLY.VO 13.pdf
36,2013,"Appropriation (Railways) Bill, 2013",RAILWAYS,13/03/2013,13/03/2013,15/03/2013,20/03/2013,6,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/36_2013_Eng_LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/36F_2013_Eng_LS.pdf,NA
36,2013,"Appropriation (Railways) Bill, 2013",RAILWAYS,13/03/2013,13/03/2013,15/03/2013,20/03/2013,6,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/36_2013_Eng_LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/36F_2013_Eng_LS.pdf,NA
37,2013,"The Appropriation (Railways)No. 2 Bill, 2013",RAILWAYS,13/03/2013,13/03/2013,15/03/2013,20/03/2013,7,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Bill_37_5319_LS_Eng.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/37F_2013_Eng_LS.pdf,NA
37,2013,"The Appropriation (Railways)No. 2 Bill, 2013",RAILWAYS,13/03/2013,13/03/2013,15/03/2013,20/03/2013,7,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Bill_37_5319_LS_Eng.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/37F_2013_Eng_LS.pdf,NA
38,2013,"The Indian Institutes of Information Technology Bill, 2013.",HUMAN RESOURCE DEVELOPMENT,18/03/2013,NA,NA,NA,NA,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/38_2013_Eng_LS.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corri_38_2013_Eng_LS.doc
41,2013,"The Appropriation (Vote on Account) Bill, 2013",FINANCE,14/03/2013,14/03/2013,21/03/2013,22/03/2013,8,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/41_5497_LS_Eng..pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/41F_2013_Eng_LS.pdf,NA
41,2013,"The Appropriation (Vote on Account) Bill, 2013",FINANCE,14/03/2013,14/03/2013,21/03/2013,22/03/2013,8,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/41_5497_LS_Eng..pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/41F_2013_Eng_LS.pdf,NA
48,2013,"The Appropriation Bill, 2013",FINANCE,14/03/2013,14/03/2013,21/03/2013,22/03/2013,9,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/48_2013_En_LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/48F_2013_Eng_LS.pdf,NA
48,2013,"The Appropriation Bill, 2013",FINANCE,14/03/2013,14/03/2013,21/03/2013,22/03/2013,9,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/48_2013_En_LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/48F_2013_Eng_LS.pdf,NA
49,2013,"The Appropriation (No.2) Bill, 2013",FINANCE,14/03/2013,14/03/2013,21/03/2013,22/03/2013,10,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/49_2013_En_LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/49F_2013_Eng_LS.pdf,NA
49,2013,"The Appropriation (No.2) Bill, 2013",FINANCE,14/03/2013,14/03/2013,21/03/2013,22/03/2013,10,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/49_2013_En_LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/49F_2013_Eng_LS.pdf,NA
57,2013,"The Biotechnology Regulatory Authority of India Bill, 2013.",SCIENCE AND TECHNOLOGY AND EARTH SCIENCES,22/04/2013,NA,NA,NA,NA,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/57_2013_Eng_LS.pdf,NA,"http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Biotechnology Regulatary, 2013, 18.3.2013.doc"
60,2013,"The Jharkhand Appropriation Bill, 2013",FINANCE,15/03/2013,15/03/2013,21/03/2012,22/03/2013,11,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/60_2013_LS_Eng.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/60F_2013_Eng_LS.pdf,NA
60,2013,"The Jharkhand Appropriation Bill, 2013",FINANCE,15/03/2013,15/03/2013,21/03/2012,22/03/2013,11,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/60_2013_LS_Eng.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/60F_2013_Eng_LS.pdf,NA
61,2013,"The Jharkhand Appropriation (No. 2) Bill, 2013",FINANCE,15/03/2013,15/03/2013,21/03/2013,22/03/2013,12,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/61_2013_LS_Eng.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/61F_2013_Eng_LS.pdf,NA
61,2013,"The Jharkhand Appropriation (No. 2) Bill, 2013",FINANCE,15/03/2013,15/03/2013,21/03/2013,22/03/2013,12,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/61_2013_LS_Eng.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/61F_2013_Eng_LS.pdf,NA
63,2013,"The Criminal Law (Amendment) Bill, 2013",HOME AFFAIRS,19/03/2013,19/03/2013,NA,NA,NA,Ordinary Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/63_2013_eng_ls.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corri_ENG_63_2013_LS.pdf
64,2013,"The Regional Rural Banks (Amendment) Bill, 2013.",FINANCE,22/04/2013,NA,NA,NA,NA,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/64_2013_Eng_LS.pdf,NA,NA
65,2013,"The Appropriation (Railways) No. 3 Bill, 2013.",RAILWAYS,30/04/2013,30/04/2013,NA,NA,NA,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/65_2013_Eng_LS.pdf,NA,NA
93,2013,"The Appropriation (No. 3) Bill, 2013.",FINANCE,30/04/2013,30/04/2013,NA,NA,NA,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/93_2013_Eng_LS.pdf,NA,NA
94,2013,"The National Bank for Agriculture and Rural Development (Amendment) Bill, 2013",FINANCE,06/05/2013,NA,NA,NA,NA,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/94_2013_ENG_LS.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corri_94_2013_Eng_LS.doc
11,2012,"The Finance Bill, 2012.",FINANCE,16/03/2012,08/05/2012,NA,28/05/2012,23,Money Bill,Assented,"http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Finance Bill, Eng..pdf",http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/11F_2012_LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Fin Corr Eng.pdf
11,2012,"The Finance Bill, 2012.",FINANCE,16/03/2012,08/05/2012,NA,28/05/2012,23,Money Bill,Passed,"http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Finance Bill, Eng..pdf",http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/11F_2012_LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Fin Corr Eng.pdf
11,2012,"The Finance Bill, 2012.",FINANCE,16/03/2012,08/05/2012,NA,28/05/2012,23,Money Bill,Pending,"http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Finance Bill, Eng..pdf",http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/11F_2012_LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Fin Corr Eng.pdf
22,2012,"The Coal Mines (Conservation and Development) Amendment Bill, 2012",COAL,22/11/2012,NA,NA,NA,NA,Money Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/22_2012_LS_ENG.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/NO ERRATA.pdf
24,2012,"The Appropriation (Railways) Vote on Account Bill, 2012.",RAILWAYS,22/03/2012,22/03/2012,NA,27/03/2012,16,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4600LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/24F_2012LS_Eng.pdf,NA
24,2012,"The Appropriation (Railways) Vote on Account Bill, 2012.",RAILWAYS,22/03/2012,22/03/2012,NA,27/03/2012,16,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4600LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/24F_2012LS_Eng.pdf,NA
24,2012,"The Appropriation (Railways) Vote on Account Bill, 2012.",RAILWAYS,22/03/2012,22/03/2012,NA,27/03/2012,16,Money Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4600LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/24F_2012LS_Eng.pdf,NA
25,2012,"The Appropriation (Railways) No. 2 Bill, 2012.",RAILWAYS,22/03/2012,22/03/2012,NA,27/03/2012,15,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4602LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/25F_2012LS_Eng.pdf,NA
25,2012,"The Appropriation (Railways) No. 2 Bill, 2012.",RAILWAYS,22/03/2012,22/03/2012,NA,27/03/2012,15,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4602LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/25F_2012LS_Eng.pdf,NA
26,2012,"The Appropriation (Railways) Bill, 2012.",RAILWAYS,22/03/2012,22/03/2012,NA,27/03/2012,14,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4604LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/26F_2012LS_Eng.pdf,NA
26,2012,"The Appropriation (Railways) Bill, 2012.",RAILWAYS,22/03/2012,22/03/2012,NA,27/03/2012,14,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4604LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/26F_2012LS_Eng.pdf,NA
27,2012,"The Appropriation Bill, 2012.",FINANCE,27/03/2012,27/03/2012,NA,29/03/2012,18,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4543LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/27F_2012LS_Eng.pdf,"http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigendum - Appropriation Bill, 2012.doc"
27,2012,"The Appropriation Bill, 2012.",FINANCE,27/03/2012,27/03/2012,NA,29/03/2012,18,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4543LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/27F_2012LS_Eng.pdf,"http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigendum - Appropriation Bill, 2012.doc"
28,2012,"The Appropriation (No. 2) Bill, 2012.",FINANCE,27/03/2012,27/03/2012,NA,29/03/2012,19,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4541LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/28F_2012LS_Eng.pdf,"http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigendum - Appropriation No. 2 Bill, 2012.doc"
28,2012,"The Appropriation (No. 2) Bill, 2012.",FINANCE,27/03/2012,27/03/2012,NA,29/03/2012,19,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4541LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/28F_2012LS_Eng.pdf,"http://164.100.24.219/BillsTexts/LSBillTexts/Errata/corrigendum - Appropriation No. 2 Bill, 2012.doc"
29,2012,"The Appropriation (Vote on Account) Bill, 2012.",FINANCE,27/03/2012,27/03/2012,NA,29/03/2012,17,Money Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4581LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/29F_2012LS_Eng.pdf,NA
29,2012,"The Appropriation (Vote on Account) Bill, 2012.",FINANCE,27/03/2012,27/03/2012,NA,29/03/2012,17,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4581LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/29F_2012LS_Eng.pdf,NA
29,2012,"The Appropriation (Vote on Account) Bill, 2012.",FINANCE,27/03/2012,27/03/2012,NA,29/03/2012,17,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4581LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/29F_2012LS_Eng.pdf,NA
34,2012,"The Piracy Bill, 2012.",EXTERNAL AFFAIRS,24/04/2012,NA,NA,NA,NA,Ordinary Bill,Pending,"http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/4855LS, eng.pdf",NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/CorrE_Piracy_2012.pdf
47,2012,"The North-Eastern Areas (Reorganisation) And Other Related Laws (Amendment) Bill, 2012",HOME AFFAIRS,26/04/2012,11/05/2012,16/05/2012,04/06/2012,26,Ordinary Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/47_2012_LS_ENG.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/NE-47 12.pdf,NA
50,2012,"The Administrative Tribunals (Amendment) Bill, 2012","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",27/04/2012,NA,NA,NA,NA,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/50 of 2012.pdf,NA,NA
51,2012,"The National Housing Bank (Amendment) Bill, 2012.",FINANCE,30/04/2012,NA,NA,NA,NA,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/219LS.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corrigenda National Housing Bank (25.4.12).doc
52,2012,"The Bureau of Indian Standards (Amendment) Bill, 2012","CONSUMER AFFAIRS, FOOD AND PUBLIC DISTRIBUTION",03/05/2012,NA,NA,NA,NA,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/52_2012LS_Eng.pdf,NA,NA
54,2012,"The Appropriation (Railways) No. 3 Bill, 2012",RAILWAYS,26/04/2012,26/04/2012,10/05/2012,17/05/2012,21,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/54 of 2012.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/54F_2012_LS.pdf,NA
54,2012,"The Appropriation (Railways) No. 3 Bill, 2012",RAILWAYS,26/04/2012,26/04/2012,10/05/2012,17/05/2012,21,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/54 of 2012.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/54F_2012_LS.pdf,NA
56,2012,"The Appropriation (No.3) Bill, 2012",FINANCE,03/05/2012,03/05/2012,NA,22/05/2012,22,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/56_2012LS_Eng.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/56F_2012_LS.pdf,NA
56,2012,"The Appropriation (No.3) Bill, 2012",FINANCE,03/05/2012,03/05/2012,NA,22/05/2012,22,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/56_2012LS_Eng.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/56F_2012_LS.pdf,NA
56,2012,"The Appropriation (No.3) Bill, 2012",FINANCE,03/05/2012,03/05/2012,NA,22/05/2012,22,Money Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/56_2012LS_Eng.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/56F_2012_LS.pdf,NA
57,2012,"The Indian Medical Council (Amendment) Bill, 2012",HEALTH AND FAMILY WELFARE,03/05/2012,07/05/2012,09/05/2012,12/05/2012,20,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/57_2012_eng_LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/IMC-20.pdf,NA
57,2012,"The Indian Medical Council (Amendment) Bill, 2012",HEALTH AND FAMILY WELFARE,03/05/2012,07/05/2012,09/05/2012,12/05/2012,20,Ordinary Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/57_2012_eng_LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/IMC-20.pdf,NA
57,2012,"The Indian Medical Council (Amendment) Bill, 2012",HEALTH AND FAMILY WELFARE,03/05/2012,07/05/2012,09/05/2012,12/05/2012,20,Ordinary Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/57_2012_eng_LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/IMC-20.pdf,NA
58,2012,"The Public Procurement Bill, 2012",FINANCE,14/05/2012,NA,NA,NA,NA,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/58_2012_LS_EN.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Cor_EN_58_2012_LS.pdf
59,2012,"The National Co-operative Development Corporation (Amendment) Bill, 2012",AGRICULTURE,17/05/2012,NA,NA,NA,NA,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/59_2012_LS_ENG.pdf,NA,NA
60,2012,"The Constitution (Scheduled Castes) Order (Amendment) Bill, 2012",SOCIAL JUSTICE AND EMPOWERMENT,21/05/2012,NA,NA,NA,NA,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/60_2012_LS_ENG.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Cor_ENG_60_2012_LS.pdf
61,2012,"The Universities for Research and Innovation Bill, 2012",HUMAN RESOURCE DEVELOPMENT,21/05/2012,NA,NA,NA,NA,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/61_2012_LS_ENG.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Cor_ENG_61_2012_LS.pdf
62,2012,"The Micro Finance Institutions (Development and Regulation) Bill, 2012.",FINANCE,22/05/2012,NA,NA,NA,NA,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/62_2012_LS_ENG.PDF,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corr_62_2012_LS_ENG.pdf
63,2012,"The Small Industries Development Bank of India (Amendment) Bill, 2012.",FINANCE,22/05/2012,NA,NA,NA,NA,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/63_2012_LS_ENG.PDF,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corr_63_2012_LS_ENG.pdf
84,2012,"The All-India Institute of Medical Sciences (Amendment) Bill, 2012",HEALTH AND FAMILY WELFARE,27/08/2012,30/08/2012,NA,NA,NA,Financial Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/84_2012_LS_Eng.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/aims- A.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corr_84_2012_LS_Eng.doc
96,2012,"The Prohibition of Employment as Manual Scavengers and their Rehabilitation Bill, 2012",SOCIAL JUSTICE AND EMPOWERMENT,03/09/2012,NA,NA,NA,NA,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/96_2012_eng_ls.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/CORR_96_2012_eng_ls.doc
104,2012,"The Street Vendors (Protection of Livelihood and Regulation of Street Vending) Bill, 2012",HOUSING AND URBAN POVERTY ALLEVIATION,06/09/2012,NA,NA,NA,NA,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2756LS (104 of 2012).pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/street.pdf
105,2012,"The Central Universities (Amendment) Bill, 2012",HUMAN RESOURCE DEVELOPMENT,26/11/2012,NA,NA,NA,NA,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/105_2012_LS_Eng.pdf,NA,NA
106,2012,"The Constitution (One Hundred-Eighteenth Amendment) Bill, 2012",HOME AFFAIRS,07/09/2012,18/12/2012,NA,NA,NA,Constitutional Amendment Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/106_2012_Eng_LS.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/106F of 2012.doc,NA
130,2012,"The Criminal Law (Amendment) Bill, 2012",HOME AFFAIRS,04/12/2012,NA,NA,NA,NA,Ordinary Bill,Withdrawn,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/130_2012_Eng_LS.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/NO ERRATA.pdf
130,2012,"The Criminal Law (Amendment) Bill, 2012",HOME AFFAIRS,04/12/2012,NA,NA,NA,NA,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/130_2012_Eng_LS.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/NO ERRATA.pdf
136,2012,"The Competition (Amendment) Bill, 2012",CORPORATE AFFAIRS,07/12/2012,NA,NA,NA,NA,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/136_2012_ENG_LS.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corr_136_2012_ENG_LS.doc
137,2012,"The Governors (Emoluments, Allowances and Privileges) Amendment Bill, 2012",HOME AFFAIRS,10/12/2012,NA,NA,NA,NA,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/137_2012_ENG_LS.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corr_137_2012_ENG_LS.doc
138,2012,"The Appropriation (No. 4) Bill, 2012",FINANCE,14/12/2012,14/12/2012,NA,NA,NA,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/138_2012_ENG_LS.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corr_138_2012_ENG_LS.pdf
139,2012,"The Constitution (Scheduled Tribes) Order (Second Amendment) Bill, 2012",TRIBAL AFFAIRS,14/12/2012,NA,NA,NA,NA,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/139_2012_ENG_LS.pdf,NA,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Corr_139_2012_ENG_LS.pdf
8,2011,"The Finance Bill, 2011.",FINANCE,28/02/2011,22/03/2011,24/03/2011,08/04/2011,8,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/finance bill.doc,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/Finance 8F of 2011.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Finance Corrigenda.pdf
8,2011,"The Finance Bill, 2011.",FINANCE,28/02/2011,22/03/2011,24/03/2011,08/04/2011,8,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/finance bill.doc,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/Finance 8F of 2011.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/Errata/Finance Corrigenda.pdf
12,2011,"The Appropriation (Railways) No. 2 Bill, 2011",RAILWAYS,07/03/2011,07/03/2011,NA,11/03/2011,2,Money Bill,Assented,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Appro (Railway) No.2.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/Appr Rail No 2 (12F of 2011).pdf,NA
12,2011,"The Appropriation (Railways) No. 2 Bill, 2011",RAILWAYS,07/03/2011,07/03/2011,NA,11/03/2011,2,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Appro (Railway) No.2.pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/Appr Rail No 2 (12F of 2011).pdf,NA
13,2011,"The Appropriation (Railways) Bill, 2011",RAILWAYS,07/03/2011,07/03/2011,NA,11/03/2011,1,Money Bill,Passed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/Appro (Railway).pdf,http://164.100.24.219/BillsTexts/LSBillTexts/PassedBothHouses/Appr Rail (13F of 2011).pdf,NA
